"","roadtype","onewaysummary","junction","sidewalk","leftside","lanes.psv.forward","lanes.forward","lanes.backward","lanes.psv.backward","rightside","count"
"3508392","secondary Road - Cycling Allowed","One Way","no","both","None",0,1,0,0,"None",147
"3508394","unclassified Road - Cycling Allowed","One Way","roundabout","left","None",0,1,0,0,"None",36
"3508397","unclassified Road - Cycling Allowed","One Way","no","both","None",0,1,0,0,"None",333
"3508420","residential Road - Cycling Allowed","Two Way","no","both","None",0,1,1,0,"None",7669
"3508421","secondary Road - Cycling Allowed","Two Way","no","both","None",0,1,2,0,"None",1
"3508423","unclassified Road - Cycling Allowed","Two Way","no","both","None",0,1,1,0,"None",1147
"3509173","primary_link Road - Cycling Allowed","One Way","no","both","None",0,1,0,0,"None",23
"3509727","primary Road - Cycling Allowed","One Way","no","both","None",0,2,0,0,"None",30
"3509728","primary Road - Cycling Allowed","One Way","no","both","Lane",0,1,0,0,"Lane",8
"3509731","residential Road - Cycling Allowed","One Way","no","both","None",0,1,0,0,"None",358
"3511571","tertiary Road - Cycling Allowed","One Way","no","both","None",0,1,0,0,"Lane",2
"3511578","trunk_link Road - Cycling Allowed","One Way","no","both","Lane",0,1,0,0,"None",1
"3512363","tertiary Road - Cycling Allowed","One Way","no","left","None",0,1,0,0,"None",41
"3526281","trunk Road - Cycling Allowed","One Way","no","left","None",0,2,0,0,"None",9
"3528789","primary Road - Cycling Allowed","Two Way","no","both","None",0,1,1,0,"None",175
"3528791","unclassified Road - Cycling Allowed","Two Way","no","both","None",1,1,1,0,"None",9
"3528793","unclassified Road - Cycling Allowed","One Way","no","both","None",1,1,0,0,"None",13
"3530414","tertiary Road - Cycling Allowed","One Way","no","left","None",0,2,0,0,"None",6
"3532741","tertiary Road - Cycling Allowed","One Way","no","no","None",0,2,0,0,"None",2
"3532909","secondary Road - Cycling Allowed","Two Way","no","no","None",0,1,1,0,"None",2
"3533296","primary Road - Cycling Allowed","Two Way","no","both","Lane",0,1,1,1,"Lane",2
"3547126","unclassified Road - Cycling Allowed","One Way - Two Way Cycling","no","both","None",0,1,1,0,"Lane",12
"3547130","residential Road - Cycling Allowed","One Way","roundabout","left","None",0,1,0,0,"None",8
"3547290","primary Road - Cycling Allowed","Two Way","no","both","share_busway",1,1,1,1,"share_busway",4
"3567401","unclassified Road - Cycling Allowed","One Way","no","both","None",0,1,0,0,"Lane",11
"3567776","primary Road - Cycling Allowed","One Way","no","left","None",0,2,0,0,"None",2
"3730153","unclassified Road - Cycling Allowed","Two Way","no","both","Lane",0,1,1,0,"Lane",7
"3730254","primary Road - Cycling Allowed","One Way","no","both","Lane",0,1,0,0,"None",12
"3730325","primary Road - Cycling Allowed","Two Way","no","both","None",0,1,1,1,"share_busway",1
"3730713","trunk Road - Cycling Allowed","Two Way","no","both","Lane",0,2,2,0,"None",1
"3787742","tertiary Road - Cycling Allowed","One Way","no","no","None",0,1,0,0,"None",15
"3787987","secondary Road - Cycling Allowed","One Way","roundabout","left","None",0,1,0,0,"None",29
"3790161","secondary Road - Cycling Allowed","One Way","no","both","Lane",0,1,0,0,"Lane",4
"3790592","unclassified Road - Cycling Allowed","Two Way","no","left","None",0,1,1,0,"None",27
"3819569","unclassified Road - Cycling Allowed","One Way","no","left","None",0,1,0,0,"None",19
"3871959","tertiary Road - Cycling Allowed","One Way","no","both","Lane",0,2,0,0,"Lane",1
"3871962","tertiary Road - Cycling Allowed","Two Way","no","both","Lane",0,1,1,0,"Lane",5
"3877196","secondary Road - Cycling Allowed","Two Way","no","both","Lane",0,1,1,0,"None",13
"3894322","primary Road - Cycling Allowed","One Way","no","both","share_busway",1,1,0,0,"None",4
"4002513","primary Road - Cycling Allowed","One Way","roundabout","left","None",0,3,0,0,"None",10
"4002663","trunk_link Road - Cycling Allowed","One Way","no","both","None",0,2,0,0,"None",9
"4002665","trunk Road - Cycling Allowed","Two Way","no","left","None",0,2,2,0,"None",3
"4002679","trunk Road - Cycling Allowed","Two Way","no","both","None",0,1,1,0,"None",25
"4002730","primary_link Road - Cycling Allowed","One Way","no","no","None",0,2,0,0,"None",1
"4002731","primary Road - Cycling Allowed","One Way","no","left","None",0,1,0,0,"None",22
"4002737","trunk Road - Cycling Allowed","One Way","no","both","None",0,3,0,0,"None",15
"4002766","trunk Road - Cycling Allowed","Two Way","no","both","share_busway",1,-1,2,1,"None",1
"4003166","trunk Road - Cycling Allowed","One Way","no","both","None",0,4,0,0,"None",7
"4003174","secondary Road - Cycling Allowed","One Way","no","left","None",0,1,0,0,"None",27
"4007141","trunk Road - Cycling Allowed","One Way","no","both","None",0,1,0,0,"None",25
"4013386","residential Road - Cycling Allowed","Two Way","no","both","None",0,1,0,0,"None",8
"4019152","Segregated Cycleway","Two Way","no","Not Applicable","Not Applicable",0,0,0,0,"Not Applicable",80
"4019154","Shared Path","Two Way","no","Not Applicable","Not Applicable",0,0,0,0,"Not Applicable",7419
"4019258","Path - Cycling Forbidden","Two Way","no","Not Applicable","Not Applicable",0,0,0,0,"Not Applicable",846
"4019344","primary Road - Cycling Allowed","Two Way","no","both","Lane",0,1,1,0,"None",5
"4019352","tertiary Road - Cycling Allowed","One Way - Two Way Cycling","no","both","Lane",0,1,1,0,"Lane",1
"4019424","unclassified Road - Cycling Allowed","Two Way","no","both","None",0,1,1,0,"Lane",4
"4073831","residential Road - Cycling Allowed","Two Way","no","no","None",0,1,1,0,"None",45
"4078708","service Road - Cycling Allowed","One Way","no","no","None",1,0,0,0,"Lane",2
"4081677","primary Road - Cycling Allowed","Two Way","no","both","None",1,1,1,0,"None",1
"4081683","Cycleway","One Way","no","Not Applicable","Not Applicable",0,0,0,0,"Not Applicable",42
"4081800","secondary Road - Cycling Allowed","One Way","no","both","None",0,2,0,0,"None",5
"4234850","residential Road - Cycling Allowed","One Way","no","left","None",0,1,0,0,"None",23
"4273591","tertiary Road - Cycling Allowed","One Way","roundabout","no","None",0,1,0,0,"None",1
"4295477","unclassified Road - Cycling Allowed","Two Way","no","no","None",0,1,1,0,"None",23
"4296144","trunk_link Road - Cycling Allowed","One Way","no","both","None",0,1,0,0,"Lane",1
