nodeId,joinsLegs,longitude,latitude
1372134863,1,0.082338,52.243418
1372134878,1,0.084553,52.240109
1372134881,1,0.082732,52.243774
1372134882,3,0.080411,52.241321
1372134883,1,0.083700,52.240827
1372134886,3,0.080570,52.241129
1372134890,3,0.087224,52.232382
1372134891,3,0.087149,52.225748
1372134892,1,0.083722,52.240214
1372134900,1,0.079744,52.240341
1372134902,3,0.082586,52.243260
1372134904,1,0.082398,52.237944
1372134913,1,0.079508,52.238780
1372134914,1,0.086824,52.236199
1372134918,1,0.080230,52.241279
1372134933,3,0.082520,52.243670
1372134941,2,0.081364,52.241676
1372134942,1,0.091282,52.226446
1372134946,2,0.091417,52.226596
1372134959,3,0.081606,52.228909
1372134976,1,0.083925,52.237395
1372136959,1,0.079121,52.237525
1372136968,1,0.083131,52.237870
1373665831,1,0.171466,52.248975
1373665834,3,0.170223,52.249324
1373665868,1,0.171229,52.248696
1373665883,3,0.171179,52.249055
1373665901,3,0.169531,52.249551
1373665904,3,0.172581,52.249501
1373665916,1,0.170715,52.249844
1375946502,4,0.185626,52.188041
1375946505,2,0.185564,52.187921
1375946507,4,0.185924,52.188474
1375946509,3,0.185522,52.187841
1376847017,4,0.119338,52.205676
1376847030,2,0.131490,52.206616
1376847036,3,0.120472,52.206515
1380763124,2,0.047025,52.245750
1380763277,3,0.054737,52.253096
1380763483,3,0.046719,52.250079
1380763529,3,0.047206,52.245881
1380763569,3,0.046303,52.246341
1380763573,3,0.046011,52.246078
1380763730,1,0.054003,52.246328
1380763763,3,0.053928,52.246366
1380763846,3,0.041875,52.247194
1380763909,2,0.046335,52.245912
1380764038,3,0.046888,52.245651
1380764094,3,0.050216,52.244327
1380764178,4,0.041809,52.246860
1380764360,3,0.046564,52.245552
1380764483,3,0.046177,52.245805
1380764506,3,0.041208,52.246889
1380764508,2,0.046539,52.245566
1380764916,1,0.053864,52.246318
1380764931,3,0.046127,52.246176
1380764971,3,0.045190,52.248728
1380764985,3,0.046677,52.245490
1381912548,3,0.057098,52.240057
1381912549,2,0.065214,52.241697
1381912557,2,0.057473,52.240201
1381912563,3,0.063297,52.237848
1381912567,3,0.063419,52.238197
1381912572,3,0.064523,52.238890
1381912577,3,0.064997,52.238787
1381912581,3,0.064331,52.239449
1381912592,1,0.057006,52.240375
1381912596,3,0.062863,52.238120
1381912630,1,0.064471,52.239739
1381912651,3,0.057373,52.240559
1381912669,1,0.062817,52.244989
1381912675,3,0.059964,52.239220
1382159978,4,0.115428,52.229161
1382160062,3,0.110101,52.227321
1382160069,2,0.116169,52.229841
1382160082,1,0.117395,52.229242
1382160083,3,0.115007,52.229512
1382160135,3,0.116012,52.229873
1382160312,1,0.116252,52.229700
1382160372,1,0.110030,52.227224
1382160374,3,0.109706,52.226720
1382160449,4,0.115551,52.229204
1382160610,4,0.115610,52.229126
1382160614,4,0.115490,52.229088
1382160654,1,0.114278,52.229202
1382160745,1,0.110325,52.227283
1382160767,1,0.108770,52.226548
1382160905,1,0.114082,52.229230
1382161187,3,0.116430,52.230103
1382161226,3,0.116310,52.229811
1382161359,1,0.115048,52.229582
1382161662,1,0.116343,52.229942
1382161674,3,0.117319,52.229107
1382161710,1,0.113857,52.231160
1382161713,1,0.114858,52.229542
1382161743,1,0.116360,52.229907
1382881720,1,0.162515,52.132706
1382881739,3,0.162412,52.132739
1382881743,1,0.162585,52.132421
1382881746,3,0.162787,52.133853
1382881756,1,0.162441,52.132471
1382881759,1,0.164229,52.133842
1382881770,3,0.163361,52.133678
1382881771,1,0.162689,52.132578
1382881773,3,0.161729,52.132600
1382881784,3,0.164277,52.133893
1382881785,3,0.162337,52.132647
1382881802,3,0.162595,52.132566
1382881828,1,0.162728,52.132934
1382881837,3,0.162502,52.132451
1382881846,3,0.162315,52.132619
1382881851,3,0.163891,52.133518
1382881886,3,0.162174,52.132465
1382881894,3,0.163126,52.134251
1382881898,1,0.163424,52.133761
1382881899,3,0.167870,52.126419
1382900359,2,0.163033,52.127520
1382900376,3,0.172737,52.130371
1382900412,1,0.164621,52.128335
1382900421,1,0.174983,52.131105
1382900423,1,0.166474,52.130032
1382900426,3,0.164273,52.127710
1382900429,2,0.165216,52.129719
1382900433,1,0.177348,52.134306
1382900453,1,0.179480,52.134150
1382900472,1,0.156138,52.127395
1382900479,3,0.177973,52.134185
1382900527,1,0.177645,52.134043
1382900536,3,0.178858,52.134129
1382900552,1,0.166380,52.130292
1382900563,1,0.165370,52.128352
1382900580,3,0.172158,52.129407
1382900586,3,0.164760,52.128483
1382900589,3,0.165307,52.128547
1382900627,3,0.164675,52.128812
1382900634,3,0.178027,52.133969
1382900661,4,0.165650,52.128720
1382900678,3,0.178745,52.133984
