id,quietness,speed,pause,cyclable,walkable
4313634,80,20,0,1,1
4313640,80,24,0,1,1
4313641,80,24,0,1,1
4313642,80,24,0,1,1
4313643,80,24,0,1,1
4313645,80,24,0,1,1
4313646,80,24,0,1,1
4313648,60,20,0,1,1
4313649,95,24,0,1,1
4313650,80,24,0,1,1
4313651,80,24,0,1,1
4313652,50,6,0,0,1
4313653,80,24,0,1,1
4313654,80,24,0,1,1
4313655,80,24,0,1,1
4313656,80,24,0,1,1
4313657,80,24,0,1,1
4313678,80,24,0,1,1
4313679,80,24,0,1,1
4313680,80,24,0,1,1
4313681,80,24,0,1,1
4313682,80,24,0,1,1
4313683,80,24,0,1,1
4313684,80,24,0,1,1
4313685,80,24,0,1,1
4313686,80,24,0,1,1
4313687,80,24,0,1,1
4313688,80,24,0,1,1
4313689,80,24,0,1,1
4313690,80,24,0,1,1
4313691,80,24,0,1,1
4313692,60,20,0,1,1
4313694,80,24,0,1,1
4313695,10,24,6,1,0
4313696,80,24,0,1,1
4313697,80,24,0,1,1
4313698,80,24,0,1,1
4313699,80,24,0,1,1
4313700,80,24,0,1,1
4313701,80,24,0,1,1
4313702,80,24,0,1,1
4313703,80,24,0,1,1
4313705,80,24,0,1,1
4313706,80,24,0,1,1
4313707,80,24,0,1,1
4313708,80,24,0,1,1
4313709,80,24,0,1,1
4313710,80,24,0,1,1
4313711,80,24,0,1,1
4313712,80,24,0,1,1
4313713,80,24,0,1,1
4313714,80,24,0,1,1
4313715,80,24,0,1,1
4313716,80,24,0,1,1
4313717,80,24,0,1,1
4313718,80,24,0,1,1
4313840,80,24,0,1,1
4313841,80,24,0,1,1
4313842,80,24,0,1,1
4313843,80,24,0,1,1
4313844,80,24,0,1,1
4313845,80,24,0,1,1
4313846,80,24,0,1,1
4313847,68,10,2,1,1
4313896,80,24,0,1,1
4313897,80,24,0,1,1
4313899,50,6,0,0,1
4313900,80,24,0,1,1
4313959,80,24,0,1,1
4313965,80,24,0,1,1
4313966,50,6,0,0,1
4313969,80,24,0,1,1
4313970,70,24,0,1,1
4313987,80,24,0,1,1
4314798,70,24,0,1,1
4314906,80,24,0,1,1
4314907,80,24,0,1,1
4314908,60,20,0,1,1
4314909,80,24,0,1,1
4314915,80,24,0,1,1
4314916,60,20,0,1,1
4314917,80,24,0,1,1
4314918,80,24,0,1,1
4314919,80,24,0,1,1
4314920,60,20,0,1,1
4314923,80,24,0,1,1
4314924,80,24,0,1,1
4314927,80,24,0,1,1
4314928,80,24,0,1,1
4314930,80,24,0,1,1
4314931,100,16,0,1,1
4315062,45,24,0,1,0
4315087,80,24,0,1,1
4315088,80,24,0,1,1
4315089,80,24,0,1,1
4315090,80,24,0,1,1
4315091,80,24,0,1,1
4315092,80,24,0,1,1
4315093,80,24,0,1,1
4315094,80,24,0,1,1
4315096,80,24,0,1,1
4315097,80,24,0,1,1
4315098,80,24,0,1,1
4315099,80,24,0,1,1
4315102,20,24,0,1,0
4315104,80,24,0,1,1
4315105,70,24,0,1,1
4315128,80,24,0,1,0
4315129,80,24,0,1,1
4315137,80,24,0,1,1
4315138,80,24,0,1,1
4315139,80,24,0,1,1
4315140,80,24,0,1,1
4315141,80,24,0,1,1
4315142,80,24,0,1,1
4315143,80,24,0,1,1
4315301,80,24,0,1,1
4315303,80,24,0,1,1
4315304,80,24,0,1,1
4315305,80,24,0,1,1
4315306,80,24,0,1,1
4315307,80,24,0,1,1
4315308,80,24,0,1,1
4315435,70,24,0,1,1
4315437,80,24,0,1,1
4315438,80,24,0,1,1
4315439,80,24,0,1,1
4315466,80,24,0,1,1
4315531,80,24,0,1,1
4315551,75,24,0,1,1
4315552,75,24,0,1,1
4315553,75,24,0,1,1
4315554,80,24,0,1,1
4315569,25,1,15,0,1
4315570,75,24,0,1,1
4315571,60,20,0,1,1
4315572,80,24,0,1,1
4315574,50,6,0,0,1
4315594,80,24,0,1,1
4315750,80,24,0,1,1
4315752,80,24,0,1,1
4315753,50,6,0,0,1
4315779,80,24,0,1,1
4315780,80,24,0,1,1
4315781,80,24,0,1,1
